operation,classification,evidence,action
GET /api/portal-central/activity,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/portal-central/announcements,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/portal-central/articles,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/portal-central/articles/popular,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/portal-central/articles/slug/{slug},active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/portal-central/articles/{id},active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/portal-central/dashboard,documented elsewhere,docs/superpowers/plans/2026-07-27-f5b-central-families-strict.md,retain baseline until represented in openapi.full.yaml
GET /api/portal-central/faqs,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/portal-central/faqs/categories,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/portal-central/health,documented elsewhere,docs/superpowers/plans/2026-07-27-f5b-central-families-strict.md,retain baseline until represented in openapi.full.yaml
GET /api/portal-central/metrics,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/portal-central/tickets,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/portal-central/tickets/{id},active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/portal-central/users,documented elsewhere,docs/superpowers/plans/2026-07-27-f5b-central-families-strict.md,retain baseline until represented in openapi.full.yaml
GET /api/portal-central/users/{id},documented elsewhere,docs/superpowers/plans/2026-07-27-f5b-central-families-strict.md,retain baseline until represented in openapi.full.yaml
GET /api/portal-central/users/{userid}/notifications,documented elsewhere,docs/superpowers/plans/2026-07-27-f5b-central-families-strict.md,retain baseline until represented in openapi.full.yaml
GET /api/predictive-analytics/forecasting/{integrationid},documented elsewhere,docs/api/API-DOCUMENTATION.md; docs/milestones/week-7-completion.md,retain baseline until represented in openapi.full.yaml
GET /api/predictive-analytics/performance/metrics,documented elsewhere,docs/api/API-DOCUMENTATION.md; docs/developer/DEVELOPER_GUIDE.md; docs/milestones/week-7-completion.md,retain baseline until represented in openapi.full.yaml
GET /api/predictive-analytics/status,documented elsewhere,docs/milestones/week-7-completion.md,retain baseline until represented in openapi.full.yaml
GET /api/quality-central/checklists,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/quality-central/checklists/{id},active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/quality-central/coas,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/quality-central/coas/pending,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/quality-central/dashboard,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/quality-central/defects,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/quality-central/defects/critical,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/quality-central/health,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/quality-central/holds,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/quality-central/holds/{id},active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/quality-central/inspections,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/quality-central/inspections/{id},active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/quality-central/metrics,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/reconciliation-center/exceptions,documented elsewhere,docs/review/A_GRADE_EVIDENCE_CROSSWALK.md; docs/superpowers/plans/2026-05-23-parked-post-demo-tier-b-work.md; docs/superpowers/plans/2026-07-22-f3-governance-lineage-reconciliation-strict.md,retain baseline until represented in openapi.full.yaml
GET /api/reconciliation-center/schedules,documented elsewhere,docs/superpowers/plans/2026-05-30-reconciliation-embedded-followups.md; docs/superpowers/plans/2026-05-30-reconciliation-schedule-crud.md; docs/superpowers/specs/2026-05-30-reconciliation-embedded-followups-design.md,retain baseline until represented in openapi.full.yaml
GET /api/roi-dashboard/cost-analysis,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/roi-dashboard/executive-summary,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/roi-dashboard/metrics,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/roi-dashboard/performance,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/service-central/dashboard,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/service-central/dispatches/active,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/service-central/health,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/service-central/metrics,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/service-central/sla/at-risk,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/service-central/sla/compliance,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/service-central/slas,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/service-central/technician-status,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/service-central/technicians,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/service-central/technicians/{id},active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/service-central/technicians/{id}/schedule,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/service-central/tickets-by-priority,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/service-central/work-orders,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/service-central/work-orders/{id},active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/service-central/work-orders/{id}/dispatch-history,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/settings/demo-mode,documented elsewhere,docs/CHANGELOG.md; docs/DEMO-LIVE-MODE.md; docs/adr/ADR-005-demo-connector-decorator.md,retain baseline until represented in openapi.full.yaml
GET /api/settings/mcp,documented elsewhere,docs/MCP-USER-SETTINGS-GUIDE.md; docs/architecture/MCP-GATEWAY-ARCHITECTURE.md; docs/superpowers/plans/2026-07-14-settings-mutation-authorization-plan.md,retain baseline until represented in openapi.full.yaml
GET /api/shipstation/carriers,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/shipstation/dashboard,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/shipstation/health,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/shipstation/orders,documented elsewhere,docs/superpowers/plans/2026-07-26-f4-erp-write-families-strict.md,retain baseline until represented in openapi.full.yaml
GET /api/shipstation/orders/{ordernumber},documented elsewhere,docs/superpowers/plans/2026-07-26-f4-erp-write-families-strict.md,retain baseline until represented in openapi.full.yaml
GET /api/shipstation/products,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/shipstation/shipments,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/shipstation/statistics,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/shipstation/tracking/{carriercode}/{trackingnumber},active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/shipstation/warehouses,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/squire/suitecentral/netsuite/sync/sync/status,documented elsewhere,docs/superpowers/plans/2026-07-26-f4-erp-write-families-strict.md,retain baseline until represented in openapi.full.yaml
GET /api/statistics,documented elsewhere,docs/CHANGELOG.md; docs/guides/SECURITY-AND-RATE-LIMITING.md; docs/review/route-tenant-coverage.md,retain baseline until represented in openapi.full.yaml
GET /api/suitecentral/netsuite/sync/sync/status,documented elsewhere,docs/superpowers/plans/2026-07-26-f4-erp-write-families-strict.md,retain baseline until represented in openapi.full.yaml
GET /api/suitecentral/prod/connector/bulk-operations/{operationid},documented elsewhere,docs/developer/api-reference.md,retain baseline until represented in openapi.full.yaml
GET /api/suitecentral/prod/credentials/{profileid},documented elsewhere,docs/developer/api-reference.md,retain baseline until represented in openapi.full.yaml
GET /api/suitecentral/prod/environments,documented elsewhere,docs/developer/api-reference.md,retain baseline until represented in openapi.full.yaml
GET /api/suitecentral/prod/environments/{environmentid},documented elsewhere,docs/developer/api-reference.md,retain baseline until represented in openapi.full.yaml
GET /api/suitecentral/prod/environments/{environmentid}/credentials,documented elsewhere,docs/developer/api-reference.md,retain baseline until represented in openapi.full.yaml
GET /api/suitecentral/prod/monitoring/alerts,documented elsewhere,docs/developer/api-reference.md; docs/superpowers/plans/2026-07-14-suitecentral-control-plane-security-plan.md,retain baseline until represented in openapi.full.yaml
GET /api/suitecentral/prod/monitoring/config/{environmentid},documented elsewhere,docs/developer/api-reference.md,retain baseline until represented in openapi.full.yaml
GET /api/suitecentral/prod/monitoring/dashboard/{environmentid},documented elsewhere,docs/developer/api-reference.md,retain baseline until represented in openapi.full.yaml
GET /api/suitecentral/prod/monitoring/health/{environmentid},documented elsewhere,docs/developer/api-reference.md,retain baseline until represented in openapi.full.yaml
GET /api/suitecentral/prod/monitoring/health/{environmentid}/history,documented elsewhere,docs/developer/api-reference.md,retain baseline until represented in openapi.full.yaml
GET /api/suitecentral/prod/monitoring/usage/{environmentid},documented elsewhere,docs/developer/api-reference.md,retain baseline until represented in openapi.full.yaml
GET /api/suitecentral/prod/performance/{environmentid},documented elsewhere,docs/developer/api-reference.md,retain baseline until represented in openapi.full.yaml
GET /api/suitecentral/prod/system/health-report,documented elsewhere,docs/developer/api-reference.md; docs/superpowers/plans/2026-07-14-suitecentral-control-plane-security-plan.md,retain baseline until represented in openapi.full.yaml
GET /api/suitecentral/prod/system/info,documented elsewhere,docs/developer/api-reference.md,retain baseline until represented in openapi.full.yaml
GET /api/suitecentral/prod/templates,documented elsewhere,docs/developer/api-reference.md,retain baseline until represented in openapi.full.yaml
GET /api/suitecentral/prod/templates/{templateid},documented elsewhere,docs/developer/api-reference.md,retain baseline until represented in openapi.full.yaml
GET /api/suitecentral/sync/status,documented elsewhere,docs/superpowers/plans/2026-07-26-f4-erp-write-families-strict.md,retain baseline until represented in openapi.full.yaml
GET /api/supplier-central/activity,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/supplier-central/analytics/onboarding,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/supplier-central/dashboard,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/supplier-central/export/vendors,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/supplier-central/health,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/supplier-central/netsuite/governance,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/supplier-central/netsuite/sync-status,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/supplier-central/purchase-orders/{poid},documented elsewhere,docs/CHANGELOG.md; docs/api/API-DOCUMENTATION.md; docs/api/ENDPOINT-REGISTRY.md,retain baseline until represented in openapi.full.yaml
GET /api/supplier-central/purchase-orders/{poid}/asn,documented elsewhere,docs/CHANGELOG.md; docs/api/API-DOCUMENTATION.md; docs/api/ENDPOINT-REGISTRY.md,retain baseline until represented in openapi.full.yaml
GET /api/supplier-central/vendors,documented elsewhere,docs/CHANGELOG.md; docs/api/ENDPOINT-REGISTRY.md; docs/superpowers/plans/2026-05-31-central-attribution-and-claims-gate.md,retain baseline until represented in openapi.full.yaml
GET /api/supplier-central/vendors/{vendorid},documented elsewhere,docs/CHANGELOG.md; docs/api/ENDPOINT-REGISTRY.md; docs/superpowers/plans/2026-05-31-central-attribution-and-claims-gate.md,retain baseline until represented in openapi.full.yaml
GET /api/supplier-central/vendors/{vendorid}/ai-assessment,documented elsewhere,docs/CHANGELOG.md; docs/api/ENDPOINT-REGISTRY.md; docs/superpowers/plans/2026-05-31-central-attribution-and-claims-gate.md,retain baseline until represented in openapi.full.yaml
GET /api/supplier-central/vendors/{vendorid}/asn,documented elsewhere,docs/CHANGELOG.md; docs/api/ENDPOINT-REGISTRY.md; docs/superpowers/plans/2026-05-31-central-attribution-and-claims-gate.md,retain baseline until represented in openapi.full.yaml
GET /api/supplier-central/vendors/{vendorid}/purchase-orders,documented elsewhere,docs/CHANGELOG.md; docs/api/ENDPOINT-REGISTRY.md; docs/superpowers/plans/2026-05-31-central-attribution-and-claims-gate.md,retain baseline until represented in openapi.full.yaml
GET /api/sync-central/alerts,documented elsewhere,docs/superpowers/plans/2026-07-31-f6-subproject-b-pr3.md,retain baseline until represented in openapi.full.yaml
GET /api/sync-central/analytics,documented elsewhere,docs/superpowers/plans/2026-07-31-f6-subproject-b-pr3.md,retain baseline until represented in openapi.full.yaml
GET /api/sync-central/subscriptions,documented elsewhere,docs/CHANGELOG.md; docs/api/API-DOCUMENTATION.md; docs/api/ENDPOINT-REGISTRY.md,retain baseline until represented in openapi.full.yaml
GET /api/sync-central/subscriptions/{subscriptionid}/limit-check,documented elsewhere,docs/CHANGELOG.md; docs/api/API-DOCUMENTATION.md; docs/api/ENDPOINT-REGISTRY.md,retain baseline until represented in openapi.full.yaml
GET /api/sync-central/tiers,documented elsewhere,docs/superpowers/plans/2026-07-30-f6-subproject-b-pr2.md; docs/superpowers/plans/2026-07-31-f6-subproject-b-pr3.md,retain baseline until represented in openapi.full.yaml
GET /api/sync-central/tiers/{tierid},documented elsewhere,docs/superpowers/plans/2026-07-30-f6-subproject-b-pr2.md; docs/superpowers/plans/2026-07-31-f6-subproject-b-pr3.md,retain baseline until represented in openapi.full.yaml
GET /api/sync-error-assist/suggestions,documented elsewhere,docs/adr/ADR-018-embedded-erp-surface-contract.md; docs/superpowers/plans/2026-08-01-f6-pr4-stage4-strict-compatible-routing.md; docs/superpowers/specs/2026-05-07-sync-error-ai-assist-design.md,retain baseline until represented in openapi.full.yaml
GET /api/sync-orchestrator/alerts,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/sync-orchestrator/dashboard,documented elsewhere,docs/CHANGELOG.md; docs/superpowers/plans/2026-07-30-f6-subproject-b-pr2.md; docs/superpowers/specs/2026-07-30-f6-subproject-b-pr2-design.md,retain baseline until represented in openapi.full.yaml
GET /api/sync-orchestrator/operations,documented elsewhere,docs/superpowers/plans/2026-07-31-f6-subproject-b-pr3.md; docs/superpowers/specs/2026-07-31-f6-subproject-b-pr3-design.md,retain baseline until represented in openapi.full.yaml
GET /api/sync-orchestrator/operations/{id},documented elsewhere,docs/superpowers/plans/2026-07-31-f6-subproject-b-pr3.md; docs/superpowers/specs/2026-07-31-f6-subproject-b-pr3-design.md,retain baseline until represented in openapi.full.yaml
GET /api/sync-orchestrator/schemas,documented elsewhere,docs/CHANGELOG.md; docs/features/GRAND-UNIFIED-STRATEGY-GUIDE.md,retain baseline until represented in openapi.full.yaml
GET /api/sync-orchestrator/statistics,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/templates,documented elsewhere,docs/CHANGELOG.md; docs/architecture/ARCHITECTURE.md; docs/plans/2026-05-19-pr-4b-centralize-tenant-middleware-plan.md,retain baseline until represented in openapi.full.yaml
GET /api/templates/categories,documented elsewhere,docs/week4/WEEK4-MIGRATION-CHECKLIST.md,retain baseline until represented in openapi.full.yaml
GET /api/templates/category/{category},active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/templates/export/all,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/templates/library,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/templates/stats/overview,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/templates/{key},documented elsewhere,docs/CHANGELOG.md; docs/architecture/ARCHITECTURE.md; docs/plans/2026-05-19-pr-4b-centralize-tenant-middleware-plan.md,retain baseline until represented in openapi.full.yaml
GET /api/upload/api/file-upload/field-mappings/template,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/upload/api/file-upload/history,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/workflow-central/activity,documented elsewhere,docs/plans/2026-05-18-workflow-central-activity-logs-durability-spec.md,retain baseline until represented in openapi.full.yaml
GET /api/workflow-central/by-category,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/workflow-central/dashboard,documented elsewhere,docs/plans/2026-05-14-workflow-central-operator-promotion-spec.md; docs/superpowers/plans/2026-07-27-f5b-central-families-strict.md; docs/superpowers/plans/2026-07-29-f5b3-demo-tenant-rekey.md,retain baseline until represented in openapi.full.yaml
GET /api/workflow-central/definitions,documented elsewhere,docs/plans/2026-05-14-workflow-central-operator-promotion-spec.md,retain baseline until represented in openapi.full.yaml
GET /api/workflow-central/definitions/{id},documented elsewhere,docs/plans/2026-05-14-workflow-central-operator-promotion-spec.md,retain baseline until represented in openapi.full.yaml
GET /api/workflow-central/health,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/workflow-central/instances,documented elsewhere,docs/plans/2026-05-14-workflow-central-operator-promotion-spec.md; docs/plans/2026-05-15-workflow-central-instance-durability-plan.md; docs/superpowers/plans/2026-07-27-f5b-central-families-strict.md,retain baseline until represented in openapi.full.yaml
GET /api/workflow-central/instances/{id},documented elsewhere,docs/plans/2026-05-14-workflow-central-operator-promotion-spec.md; docs/plans/2026-05-15-workflow-central-instance-durability-plan.md; docs/superpowers/plans/2026-07-27-f5b-central-families-strict.md,retain baseline until represented in openapi.full.yaml
GET /api/workflow-central/metrics,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/workflow-central/tasks,documented elsewhere,docs/CODEX-WORKING-NOTES.md; docs/plans/2026-05-14-workflow-central-operator-promotion-plan.md; docs/plans/2026-05-14-workflow-central-operator-promotion-spec.md,retain baseline until represented in openapi.full.yaml
GET /api/workflow-central/tasks/assignee/{assigneeid},active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/workflow-central/tasks/{id},documented elsewhere,docs/CODEX-WORKING-NOTES.md; docs/plans/2026-05-14-workflow-central-operator-promotion-plan.md; docs/plans/2026-05-14-workflow-central-operator-promotion-spec.md,retain baseline until represented in openapi.full.yaml
GET /api/workflow-central/tasks/{id}/render,documented elsewhere,docs/CODEX-WORKING-NOTES.md; docs/plans/2026-05-14-workflow-central-operator-promotion-plan.md; docs/plans/2026-05-14-workflow-central-operator-promotion-spec.md,retain baseline until represented in openapi.full.yaml
HEAD /api/ai/proxy/field-mapping/generate,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
PATCH /api/hubspot/companies/{id},active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
PATCH /api/hubspot/contacts/{id},documented elsewhere,docs/superpowers/plans/2026-05-25-pr-13b-direct-write-ownership-enforcement.md; docs/superpowers/plans/2026-05-27-pr-13c-deferred-scope-followups.md; docs/superpowers/plans/2026-07-26-f4-erp-write-families-strict.md,retain baseline until represented in openapi.full.yaml
PATCH /api/hubspot/deals/{id},active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
PATCH /api/hubspot/tickets/{id},active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
PATCH /api/payment-central/dunning/schedules/{scheduleid},active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
PATCH /api/reconciliation-center/schedules/{id},documented elsewhere,docs/superpowers/plans/2026-05-30-reconciliation-embedded-followups.md; docs/superpowers/plans/2026-05-30-reconciliation-schedule-crud.md; docs/superpowers/specs/2026-05-30-reconciliation-embedded-followups-design.md,retain baseline until represented in openapi.full.yaml
PATCH /api/supplier-central/asn/{asnid}/status,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
PATCH /api/supplier-central/netsuite/governance,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/actions/check-inventory,documented elsewhere,docs/api/ENDPOINT-REGISTRY.md; docs/integrations/embedding-guide.md,retain baseline until represented in openapi.full.yaml
POST /api/actions/create-dispute,documented elsewhere,docs/api/API-DOCUMENTATION.md; docs/api/ENDPOINT-REGISTRY.md; docs/integrations/embedding-guide.md,retain baseline until represented in openapi.full.yaml
POST /api/actions/escalate-csm,documented elsewhere,docs/api/ENDPOINT-REGISTRY.md; docs/integrations/embedding-guide.md,retain baseline until represented in openapi.full.yaml
POST /api/actions/pause-payments,documented elsewhere,docs/api/API-DOCUMENTATION.md; docs/api/ENDPOINT-REGISTRY.md; docs/integrations/embedding-guide.md,retain baseline until represented in openapi.full.yaml
POST /api/actions/request-w9,documented elsewhere,docs/api/API-DOCUMENTATION.md; docs/api/ENDPOINT-REGISTRY.md; docs/integrations/embedding-guide.md,retain baseline until represented in openapi.full.yaml
POST /api/actions/resume-payments,documented elsewhere,docs/api/API-DOCUMENTATION.md; docs/api/ENDPOINT-REGISTRY.md; docs/integrations/embedding-guide.md,retain baseline until represented in openapi.full.yaml
POST /api/actions/send-reminder,documented elsewhere,docs/api/ENDPOINT-REGISTRY.md; docs/integrations/embedding-guide.md,retain baseline until represented in openapi.full.yaml
POST /api/actions/track-shipment,documented elsewhere,docs/api/API-DOCUMENTATION.md; docs/api/ENDPOINT-REGISTRY.md; docs/integrations/embedding-guide.md,retain baseline until represented in openapi.full.yaml
POST /api/admin/settings/demo-mode,documented elsewhere,docs/CHANGELOG.md; docs/DEMO-LIVE-MODE.md; docs/adr/ADR-004-DUAL-AI-SYSTEM-DESIGN.md,retain baseline until represented in openapi.full.yaml
POST /api/admin/suitecentral/allowed-hosts,documented elsewhere,docs/CHANGELOG.md; docs/api/ENDPOINT-REGISTRY.md; docs/developer/api-reference.md,retain baseline until represented in openapi.full.yaml
POST /api/admin/suitecentral/allowed-hosts/{hostid}/revoke,documented elsewhere,docs/CHANGELOG.md; docs/api/ENDPOINT-REGISTRY.md; docs/developer/api-reference.md,retain baseline until represented in openapi.full.yaml
POST /api/admin/tenants/{tenantid}/status,documented elsewhere,docs/CHANGELOG.md; docs/api/ENDPOINT-REGISTRY.md; docs/developer/api-reference.md,retain baseline until represented in openapi.full.yaml
POST /api/agents/execute,documented elsewhere,docs/ai/AI_MAPPING_STUDIO_COMPLETE_REVIEW.md; docs/squire/PRODUCTION_READINESS_CHECKLIST.md; docs/testing/E2E-FRONTEND-INTEGRATION-TEST-RESULTS.md,retain baseline until represented in openapi.full.yaml
POST /api/agents/governance,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/agents/workflow,documented elsewhere,docs/testing/E2E-FRONTEND-INTEGRATION-TEST-RESULTS.md,retain baseline until represented in openapi.full.yaml
POST /api/ai-config/providers,documented elsewhere,docs/ai-systems/AI_PROVIDER_SYSTEM.md; docs/sessions/2025-11-09-ai-provider-integration-tests.md; docs/tutorials/comprehensive-ai-configuration-guide.md,retain baseline until represented in openapi.full.yaml
POST /api/ai-config/providers/{id}/test,documented elsewhere,docs/ai-systems/AI_PROVIDER_SYSTEM.md; docs/sessions/2025-11-09-ai-provider-integration-tests.md; docs/tutorials/comprehensive-ai-configuration-guide.md,retain baseline until represented in openapi.full.yaml
POST /api/ai-config/tasks,documented elsewhere,docs/ai-systems/AI_PROVIDER_SYSTEM.md; docs/features/README.md; docs/tutorials/ai-provider-configuration-guide.md,retain baseline until represented in openapi.full.yaml
POST /api/ai-demo/field-mapping,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/ai/proxy/agents/{agenttype},documented elsewhere,docs/api/API.md; docs/developer/DEVELOPER_GUIDE.md; docs/governance/AI-GOVERNANCE-COMPLETE-GUIDE.md,retain baseline until represented in openapi.full.yaml
POST /api/ai/proxy/business-intelligence/analyze,documented elsewhere,docs/api/AI-AGENTS-API-REFERENCE.md; docs/superpowers/plans/2026-07-21-f2-ai-proxy-postures.md,retain baseline until represented in openapi.full.yaml
POST /api/ai/proxy/compliance/validate,documented elsewhere,docs/api/AI-AGENTS-API-REFERENCE.md,retain baseline until represented in openapi.full.yaml
POST /api/ai/proxy/dashboard/test/{service},active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/ai/proxy/data-quality/analyze,documented elsewhere,docs/developer/DEVELOPER_GUIDE.md; docs/evaluation/AI-SYSTEM-EVALUATION-GUIDE.md; docs/governance/AI-GOVERNANCE-COMPLETE-GUIDE.md,retain baseline until represented in openapi.full.yaml
POST /api/ai/proxy/data-quality/auto-fix,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/ai/proxy/data-quality/generate-rules,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/ai/proxy/field-mapping/advanced-analysis,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/ai/proxy/field-mapping/analyze,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/ai/proxy/field-mapping/generate,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
